Job Title,Company,Location,Salary,Posting Date,Summary
newApplication Support Intermediate Analyst,Citi,"Chennai, Tamil Nadu","Applies professional judgment when interpreting data and results.
Applies analytical thinking and knowledge of data analysis tools and methodologies.",,5 days ago
Senior Analyst - Post Payment Audit,McKinsey & Company,"Chennai, Tamil Nadu",Contribute towards process improvement and automation (Basic knowledge of data analytics will be an added advantage).,,30+ days ago
Data Analyst,Photon,"Chennai, Tamil Nadu","Acquire data from primary or secondary data sources and maintain databases/data systems.
Technical expertise regarding data models, database design development,…",,30+ days ago
Marketing and Sales Analyst,Hitachi Energy,"Chennai, Tamil Nadu","Experience in extracting and analyzing data.
Proactively monitors and strives to maintain high levels of data quality and completeness.",,30+ days ago
Analyst,TransUnion,"Chennai, Tamil Nadu","You will complete ad-hoc reporting and data analysis using querying and data visualization tools.
You will synthesize complex data and create presentations that…",,28 days ago
newBusiness Analyst,Mr. Cooper,"Chennai, Tamil Nadu","Analyze data (SOPS / Process Flows).
Support implementation activities using change management approaches and interact with stakeholders.",,7 days ago
"newLead Analyst, Information Risk",BNY Mellon,"Chennai, Tamil Nadu",Information Risk - IC1Supports their IROs to ensure that internal controls related to information risk management are sound and effective.,,Today
newRegulatory Risk Intermediate Analyst,Citi,"Chennai, Tamil Nadu","Performs data analysis to monitor and track data quality and completeness of data.
Applies professional judgment when interpreting data and results.",,Today
Info Security Senior Analyst,Standard Chartered,"Chennai, Tamil Nadu","Ability to collect and analyze data, establish facts and make recommendations in written and oral form.
Providing extensive supports for security in production…",,30+ days ago
Business Analyst– Chennai – AVP/C12 - Renault ID (R22027648),Citi,"Chennai, Tamil Nadu","Analyze business processes, gaps in capabilities, as well as appropriate data sources, interfaces and process changes required to address capability gaps.",,8 days ago
Regulatory Risk Intmd Analyst,Citi,"Chennai, Tamil Nadu","Performs data analysis to monitor and track data quality and completeness of data.
Applies professional judgment when interpreting data and results.",,28 days ago
Analyst - PMO,AstraZeneca,"Chennai, Tamil Nadu",Functional data provision and data product delivery to LoB/ BTG teams to functional and global standards and policies ensuring compliant and secure data assets …,,30+ days ago
"Manager,Data & Analytics",Standard Chartered,"Chennai, Tamil Nadu","This role will support data and analytics for all Enterprise Architecture, Strategy & Transformation processes.
This role is an individual contributor role.",,15 days ago
Senior Data Analyst,BigTapp,"Chennai, Tamil Nadu","Understand client use cases utilizing data and build solutions (dashboards, data models, ad hoc.
Over time derived from in-house data.",,30+ days ago
KDB Data Analyst/Engineer,Quantitative Brokers,"Chennai, Tamil Nadu","Experience working with large financial datasets like market data, order/execution data, or positions data.
We are looking for a highly analytical, motivated,…",,30+ days ago
Business Analyst (Operational Risk),Société Générale,"Chennai, Tamil Nadu","As a business analyst, you’ll be involved on one project concerning operational risk management.
Contribute to maintain the applications: analyse production…",,30+ days ago
Business/Data Systems Analyst 3,PayPal,"Chennai, Tamil Nadu","Build scalable systems, participate in technical discussions, participate in code reviews, guide the team in engineering best practices.",,30+ days ago
Data Analyst (Tableau Power BI),ARi,"Chennai, Tamil Nadu","Analysing data collected from the field failures , Machines , Components etc..
Additional Job Details: * Bachelor's degree in Engineering or equivalent is a…",,30+ days ago
Analyst - PowerBI,AstraZeneca,"Chennai, Tamil Nadu","The Insights Analyst works under the supervision of more senior analysts on simple data analysis and visualization challenges.
Ability to work well in a team.",,30+ days ago
Business Analyst,Standard Chartered,"Chennai, Tamil Nadu","Exposure in data warehouse projects experience.
Strong analytic skills and able to handle multiple data warehouse projects at the same time.",,10 days ago
Business Analyst,Aptiv,"Chennai, Tamil Nadu","Perform detailed analysis of source systems / data and developing data models.
Providing end-to-end solutions on data analysis and reporting.",,30+ days ago
Senior Analyst-Reporting,Accenture,"Chennai, Tamil Nadu",The role will require for you to work on Microsoft Power BI to help visualize data and share discoveries and collaborate in intuitive new ways.,,30+ days ago
Data Analyst,iKomet Technology Solutions,"Chennai, Tamil Nadu","Understanding of data privacy & compliance (ie: GDPR).
Demonstrated experience in design, develop and maintain BI reports, optimizing efficiency in manipulating…",,30+ days ago
